Time,h(t)
0.000000000000000000e+00,9.424777960769379348e+00
1.000000000000000056e-01,5.328051251142721378e-01
2.000000000000000111e-01,9.024968534746270754e-02
3.000000000000000444e-01,9.024968534746270754e-02
4.000000000000000222e-01,5.328051251142719158e-01
5.000000000000000000e-01,9.424777960769374019e+00
6.000000000000000888e-01,1.667146868956140224e+02
7.000000000000000666e-01,9.842299091439602989e+02
8.000000000000000444e-01,9.842299091439602989e+02
9.000000000000000222e-01,1.667146868956140224e+02
1.000000000000000000e+00,9.424777960769390006e+00
1.100000000000000089e+00,5.328051251142710276e-01
1.200000000000000178e+00,9.024968534746262427e-02
1.300000000000000044e+00,9.024968534746270754e-02
1.400000000000000133e+00,5.328051251142714717e-01
1.500000000000000000e+00,9.424777960769363361e+00
1.600000000000000089e+00,1.667146868956135961e+02
1.700000000000000178e+00,9.842299091439620042e+02
1.800000000000000044e+00,9.842299091439610947e+02
1.900000000000000133e+00,1.667146868956141077e+02
2.000000000000000000e+00,9.424777960769402441e+00
2.100000000000000089e+00,5.328051251142733591e-01
2.200000000000000178e+00,9.024968534746254101e-02
2.300000000000000266e+00,9.024968534746287407e-02
2.400000000000000355e+00,5.328051251142746914e-01
2.500000000000000000e+00,9.424777960769350926e+00
2.600000000000000089e+00,1.667146868956133687e+02
2.700000000000000178e+00,9.842299091439593894e+02
2.800000000000000266e+00,9.842299091439610947e+02
2.900000000000000355e+00,1.667146868956119476e+02
3.000000000000000000e+00,9.424777960769413099e+00
3.100000000000000089e+00,5.328051251142738032e-01
3.200000000000000178e+00,9.024968534746279081e-02
3.300000000000000266e+00,9.024968534746254101e-02
3.400000000000000355e+00,5.328051251142778000e-01
3.500000000000000000e+00,9.424777960769340268e+00
3.600000000000000089e+00,1.667146868956132835e+02
3.700000000000000178e+00,9.842299091439593894e+02
3.800000000000000266e+00,9.842299091439620042e+02
3.900000000000000355e+00,1.667146868956120898e+02
4.000000000000000000e+00,9.424777960769425533e+00
4.100000000000000533e+00,5.328051251142669198e-01
4.200000000000000178e+00,9.024968534746279081e-02
4.299999999999999822e+00,9.024968534746254101e-02
4.400000000000000355e+00,5.328051251142773559e-01
4.500000000000000000e+00,9.424777960769327834e+00
4.600000000000000533e+00,1.667146868956154435e+02
4.700000000000000178e+00,9.842299091439585936e+02
4.800000000000000711e+00,9.842299091439566610e+02
4.900000000000000355e+00,1.667146868956122603e+02
5.000000000000000000e+00,9.424777960769436191e+00
5.100000000000000533e+00,5.328051251142671418e-01
5.200000000000000178e+00,9.024968534746287407e-02
5.300000000000000711e+00,9.024968534746302673e-02
5.400000000000000355e+00,5.328051251142692513e-01
5.500000000000000000e+00,9.424777960769153751e+00
5.600000000000000533e+00,1.667146868956129140e+02
5.700000000000000178e+00,9.842299091439628000e+02
5.800000000000000711e+00,9.842299091439523409e+02
5.900000000000000355e+00,1.667146868956124592e+02
6.000000000000000000e+00,9.424777960769446850e+00
6.100000000000000533e+00,5.328051251142676970e-01
6.200000000000000178e+00,9.024968534746295734e-02
6.300000000000000711e+00,9.024968534746295734e-02
6.400000000000000355e+00,5.328051251142685851e-01
6.500000000000000000e+00,9.424777960769469942e+00
6.600000000000000533e+00,1.667146868956127719e+02
6.700000000000000178e+00,9.842299091439628000e+02
6.800000000000000711e+00,9.842299091439523409e+02
6.900000000000000355e+00,1.667146868956125729e+02
7.000000000000000000e+00,9.424777960769459284e+00
7.100000000000000533e+00,5.328051251142683631e-01
7.200000000000000178e+00,9.024968534746295734e-02
7.300000000000000711e+00,9.024968534746295734e-02
7.400000000000000355e+00,5.328051251142683631e-01
7.500000000000000000e+00,9.424777960769130658e+00
7.600000000000000533e+00,1.667146868956125729e+02
7.700000000000000178e+00,9.842299091439628000e+02
7.800000000000000711e+00,9.842299091439523409e+02
7.900000000000000355e+00,1.667146868956127719e+02
8.000000000000000000e+00,9.424777960769469942e+00
8.099999999999999645e+00,5.328051251142836842e-01
8.200000000000001066e+00,9.024968534746198590e-02
8.300000000000000711e+00,9.024968534746295734e-02
8.400000000000000355e+00,5.328051251142676970e-01
8.500000000000000000e+00,9.424777960769446850e+00
8.599999999999999645e+00,1.667146868956124592e+02
8.700000000000001066e+00,9.842299091439620042e+02
8.800000000000000711e+00,9.842299091439531367e+02
8.900000000000000355e+00,1.667146868956129140e+02
9.000000000000000000e+00,9.424777960769482377e+00
9.099999999999999645e+00,5.328051251142842393e-01
9.200000000000001066e+00,9.024968534746206916e-02
9.300000000000000711e+00,9.024968534746287407e-02
9.400000000000000355e+00,5.328051251142671418e-01
9.500000000000000000e+00,9.424777960769107565e+00
9.600000000000001421e+00,1.667146868956169783e+02
9.700000000000001066e+00,9.842299091439620042e+02
9.800000000000000711e+00,9.842299091439531367e+02
9.900000000000000355e+00,1.667146868956130561e+02
